ì˙ït,ç≈çÇãCâ∑(Åé),ì˙è∆éûä‘(éûä‘),ïΩãœïóë¨(m/s),ïΩãœéºìx(Åì)
2014-07-11,34.2,6.4,2.8,78
2014-07-12,32.8,9.5,2.9,63
2014-07-13,28,0.2,3.3,76
2014-07-14,32.9,6.4,2.6,72
2014-07-15,32.5,6.7,2.8,67
2014-07-16,32.3,10.1,2.7,74
2014-07-17,31.8,4.1,3.1,74
2014-07-18,27.5,0,2.3,81
2014-07-19,26.4,0,1.9,84
2014-07-20,29.9,3.1,2.1,81
2014-07-21,28.8,3.9,2.4,80
2014-07-22,31.2,7,2.6,75
2014-07-23,33.1,9,2.4,71
2014-07-24,34.6,2.5,2.2,72
2014-07-25,35.6,11.7,2.7,66
2014-07-26,34.6,10.2,3.3,72
2014-07-27,34.5,9,3.1,69
2014-07-28,30.7,8.4,3.1,57
2014-07-29,31.8,11.4,3.3,61
2014-07-30,31.8,9,3.5,69
2014-07-31,33.9,11.4,2.8,70
2014-08-01,33.5,11.8,3,71
2014-08-02,35.3,10.5,2.2,63
2014-08-03,35.5,10.8,2.9,61
2014-08-04,34.7,9.1,4.8,64
2014-08-05,36.1,12.9,5.9,64
2014-08-06,35.7,12.7,5.6,64
2014-08-07,34.2,11.1,5.1,65
2014-08-08,31.7,1.7,2.4,67
2014-08-09,27.8,0,3.3,80
2014-08-10,29.4,0.2,5.5,86
2014-08-11,32.9,9.8,7.3,69
2014-08-12,29.6,0.1,3.2,79
2014-08-13,31.5,6.1,2.1,76
2014-08-14,30.1,1.1,1.3,86
2014-08-15,33.6,11.9,5.1,73
2014-08-16,31.2,1.6,3.1,80
2014-08-17,30.8,4,2,81
2014-08-18,33.6,6.9,3,72
2014-08-19,34.7,12.2,3.3,67
2014-08-20,34.5,11.5,2.4,70
2014-08-21,34.1,10.7,2.4,71
2014-08-22,34.6,10.7,3,71
2014-08-23,30.3,3,3.2,71
2014-08-24,32.1,5.6,2.3,68
2014-08-25,29.3,0.9,2.3,74
2014-08-26,26.9,0,2.6,81
2014-08-27,23.4,0,2.8,87
2014-08-28,23,0,2,91
2014-08-29,26.2,0,2.1,82
2014-08-30,26.1,1.9,2.5,80
2014-08-31,25.7,2.1,2,78
2014-09-01,23.8,0,2.4,89
2014-09-02,29.8,10.2,2.7,73
2014-09-03,27.3,2.6,2.6,72
2014-09-04,27.7,2.9,2.6,72
2014-09-05,31.6,4.4,3,75
2014-09-06,31.1,2.9,2.6,77
2014-09-07,24.4,0,2,86
2014-09-08,24.4,0,1.7,82
2014-09-09,28.1,5.3,3.1,73
2014-09-10,26.9,1.7,2.3,78
2014-09-11,23.2,0.7,1.8,85
2014-09-12,27.5,7.9,2.4,65
2014-09-13,27.3,6.1,2.6,65
2014-09-14,28.7,10.1,2.6,63
2014-09-15,26,1.1,2,65
2014-09-16,29.5,8.5,2.3,69
2014-09-17,26.1,0.5,2.8,64
2014-09-18,25.9,3.3,3,49
2014-09-19,25.6,3.2,2.2,45
2014-09-20,22.3,0,2.3,63
2014-09-21,26.7,10.6,2.7,59
2014-09-22,27.2,5.9,2.1,62
2014-09-23,26.4,10,2.8,57
2014-09-24,25.9,4.1,3.6,75
2014-09-25,28.5,0.2,4.5,78
2014-09-26,28.1,8.9,3.2,64
2014-09-27,23.5,4.6,3.2,65
2014-09-28,27,10.2,3.3,64
2014-09-29,28.3,11.1,3.1,54
2014-09-30,29.1,8.8,1.8,60
2015-05-01,27.5,12.2,2.4,63
2015-05-02,27.6,12.3,2.7,66
2015-05-03,27,8.2,2.9,62
2015-05-04,26.6,7.4,5.4,68
2015-05-05,22.4,6.8,3.8,42
2015-05-06,24.7,9.4,3.2,47
2015-05-07,24.7,3.2,2.1,62
2015-05-08,26.8,10.6,2.6,61
2015-05-09,21.3,0,2,75
2015-05-10,27,10,3.5,43
2015-05-11,23.5,11.6,3.8,35
2015-05-12,22.7,1,6,73
2015-05-13,28.4,11.5,3.7,54
2015-05-14,28.6,10.2,3.2,46
2015-05-15,27.8,8.8,3.4,59
2015-05-16,23.7,0.1,2.6,84
2015-05-17,27.8,10,3.1,63
2015-05-18,26.2,4.8,3.6,73
2015-05-19,24.2,0,1.9,90
2015-05-20,27.3,7.9,2.8,70
2015-05-21,25.7,9.8,4,55
2015-05-22,26,10.1,4.1,59
2015-05-23,27.1,10.3,3,57
2015-05-24,26,7.4,2.7,61
2015-05-25,26.1,6.5,2.4,68
2015-05-26,30.9,12.5,2.6,53
2015-05-27,30.2,12.6,3.2,55
2015-05-28,26.8,4.7,3.1,68
2015-05-29,22.8,0,3,83
2015-05-30,29.6,10.3,3.3,68
2015-05-31,32.2,10.4,2.6,59
2015-06-01,27.7,10.7,3.5,51
2015-06-02,28.7,8.4,4.1,65
2015-06-03,22.9,0,2.4,89
2015-06-04,29.1,12.5,4.7,35
2015-06-05,22.5,2.1,2.4,65
2015-06-06,24.6,2.5,2.7,80
2015-06-07,25.5,7.8,3.2,65
2015-06-08,25.3,5.2,3.8,69
2015-06-09,21.9,0,2.5,92
2015-06-10,27.8,8.1,2.8,69
2015-06-11,27.5,5.4,2.6,71
2015-06-12,25,0.1,1.8,89
2015-06-13,29,3.7,2.7,79
2015-06-14,26.8,1.6,2.4,83
2015-06-15,30.8,12.2,2.5,69
2015-06-16,27.2,1.1,2.2,76
2015-06-17,24.8,0.6,2.2,88
2015-06-18,26.1,0.7,3,76
2015-06-19,20.8,0,2.7,92
2015-06-20,26.9,9.4,2.9,69
2015-06-21,22.8,0.1,1.8,86
2015-06-22,26.8,2.1,2.3,76
2015-06-23,28.8,6.1,2.7,77
2015-06-24,29.9,12.4,2.4,72
2015-06-25,28.7,7.8,2.9,72
2015-06-26,25.6,0.2,2.4,86
2015-06-27,25.5,0,1.5,97
2015-06-28,31.4,8,2.7,70
2015-06-29,26.3,6.4,3.2,68
2015-06-30,26.7,2.1,3.2,75
2015-07-01,22.4,0,2.1,98
2015-07-02,25,0.2,1.9,91
2015-07-03,23.4,0,2,99
2015-07-04,25.9,0,1.8,96
2015-07-05,21.9,0,1.8,96
2015-07-06,21.1,0,1.7,97
2015-07-07,24.3,0,1.5,91
2015-07-08,26.6,0.2,1.7,93
2015-07-09,20.4,0,2,97
2015-07-10,28.9,9.1,2.1,80
2015-07-11,31.3,11.5,2.8,76
2015-07-12,32,12.6,2.7,74
2015-07-13,34.2,11.5,5,67
2015-07-14,34.3,13.3,6.8,61
2015-07-15,33.2,13,4.7,65
2015-07-16,28.9,0.2,4.8,90
2015-07-17,30.4,1.1,5.3,83
2015-07-18,29.9,2.7,5.5,77
2015-07-19,34.8,8.3,3.3,69
2015-07-20,33.5,6.7,2.4,75
2015-07-21,34.9,13.2,3.8,65
2015-07-22,32.8,13.4,6.4,61
2015-07-23,30.4,2.7,4.5,80
2015-07-24,33.9,5.2,2,83
2015-07-25,33.1,8.4,2.2,80
2015-07-26,35.8,12.4,2.4,72
2015-07-27,35,12.9,2.7,69
2015-07-28,34.1,6.4,2.4,72
2015-07-29,32.5,3.2,2.6,70
2015-07-30,34.3,3.6,2.2,75
2015-07-31,35,10,2.7,72
2015-08-01,35.3,8.9,2.6,76
2015-08-02,35.1,9.6,2.6,71
2015-08-03,35,12,3.1,69
2015-08-04,35.1,11.4,3.4,69
2015-08-05,35.2,12.8,4.1,69
2015-08-06,35.9,11.9,3,68
2015-08-07,37.7,9.2,2.6,61
2015-08-08,32.6,4.3,3.2,71
2015-08-09,33.4,3.4,2.5,68
2015-08-10,31.9,2,2.6,79
2015-08-11,35.5,7.8,2.6,70
2015-08-12,33.7,3,2.3,73
2015-08-13,30.5,2.2,3,82
2015-08-14,31.8,1.5,2.3,84
2015-08-15,33.1,7.3,2.5,76
2015-08-16,31.9,4.7,2.7,77
2015-08-17,28,0.1,4,96
2015-08-18,31.9,4.6,3.8,76
2015-08-19,31.4,5,3,70
2015-08-20,27,0,1.9,92
2015-08-21,29.4,0.1,1.9,88
2015-08-22,32.7,8.2,3.3,80
2015-08-23,31.4,4.2,3.3,75
2015-08-24,29.3,2,3.3,67
2015-08-25,22.9,0.1,3.3,68
2015-08-26,21.3,0,3.3,99
2015-08-27,27.3,1.3,2.4,81
2015-08-28,22.9,0,2.7,84
2015-08-29,21,0,2.4,98
2015-08-30,22.5,0,1.8,96
2015-08-31,24.1,0,1.7,94
2015-09-01,26.5,0.3,2,96
2015-09-02,31.5,6.1,5,82
2015-09-03,30.4,1.5,2.6,78
2015-09-04,30.1,6.3,2.5,88
2015-09-05,29.3,2.3,2.5,70
2015-09-06,27.5,0,1.9,88
2015-09-07,26.1,0.2,2.3,98
2015-09-08,21,0,2.2,100
2015-09-09,25.3,0,2.7,99
2015-09-10,23.5,0,2.1,99
2015-09-11,29.3,9.3,2.8,79
2015-09-12,29.5,9,2.8,75
2015-09-13,27.5,3.4,3.7,76
2015-09-14,27.3,3.2,3.1,69
2015-09-15,27.5,6.2,2.5,66
2015-09-16,25.2,0.3,2.3,74
2015-09-17,18.9,0,2.6,98
2015-09-18,23.9,0.3,1.7,96
2015-09-19,29.3,8.3,2.3,73
2015-09-20,28.4,7.4,2.5,59
2015-09-21,27.5,4.8,2.1,68
2015-09-22,28.5,10.7,2.3,62
2015-09-23,27.2,9.1,2.4,60
2015-09-24,23,0.9,2,83
2015-09-25,19.5,0,2.5,98
2015-09-26,24.6,0.6,1.8,91
2015-09-27,24.5,0.8,1.6,91
2015-09-28,27.8,9.2,2.5,73
2015-09-29,26.6,4.2,2.8,43
2015-09-30,25.8,8.9,4.1,43
2016-05-01,25,9,2.1,62
2016-05-02,21.4,3.5,2.8,73
2016-05-03,24.7,6,4.9,73
2016-05-04,27,9.2,6.9,55
2016-05-05,27.4,12.3,3.3,37
2016-05-06,22.5,0.1,3.2,65
2016-05-07,26.4,11.5,4.3,61
2016-05-08,27,11.9,4,40
2016-05-09,21.8,0,3.2,80
2016-05-10,22.6,0.1,2.8,91
2016-05-11,27.1,1.7,4.8,81
2016-05-12,28,13.1,3.4,53
2016-05-13,26.5,11.1,2.9,62
2016-05-14,24.8,8.9,3.2,60
2016-05-15,23.7,12.5,2.9,63
2016-05-16,23.3,1.8,4.1,69
2016-05-17,20.5,0,3.5,95
2016-05-18,27.6,13.4,2.7,51
2016-05-19,25.1,11.6,3.2,49
2016-05-20,20.8,1.7,2.8,63
2016-05-21,26.3,12.1,2.4,63
2016-05-22,29.3,13.1,2.7,48
2016-05-23,30.9,12.5,2.4,45
2016-05-24,29.3,8.7,3.6,53
2016-05-25,24.5,0,5.1,70
2016-05-26,27.2,3.6,4.5,74
2016-05-27,22.4,0.3,3.1,90
2016-05-28,24.1,0.2,1.7,80
2016-05-29,27.9,10.4,3,71
2016-05-30,21.3,0,2.4,92
2016-05-31,24.9,4.6,3,79
2016-06-01,26.4,5.7,3.3,53
2016-06-02,26,13,4.8,33
2016-06-03,24.2,12.7,4,49
2016-06-04,27.2,8,4.5,63
2016-06-05,23.4,2.8,2.8,78
2016-06-06,23.9,0.5,2.6,76
2016-06-07,20.9,0,2,83
2016-06-08,27.3,5.7,3.1,72
2016-06-09,23.7,0,1.9,97
2016-06-10,28.8,10.2,2.9,70
2016-06-11,29.1,10.7,3.2,65
2016-06-12,28.3,6.4,3.1,70
2016-06-13,22.7,0,3.6,98
2016-06-14,26.2,5.2,3,70
2016-06-15,22.2,0,2.8,81
2016-06-16,24.4,0,3.4,83
2016-06-17,29.2,8.2,2.5,80
2016-06-18,33,13.3,3.4,50
2016-06-19,29.3,4.2,4,71
2016-06-20,28.8,5.9,2.1,82
2016-06-21,25.7,2.5,1.9,88
2016-06-22,23.9,0,2.5,88
2016-06-23,26.9,3.3,2.2,85
2016-06-24,25.3,0,2.9,84
2016-06-25,28.7,0,3.8,79
2016-06-26,30,9.8,2.7,61
2016-06-27,28.9,10.4,3.2,66
2016-06-28,22.8,0,2,95
2016-06-29,24.2,0,1.9,87
2016-06-30,27.1,0.6,1.7,89
2016-07-01,30.6,4.4,2.3,83
2016-07-02,31.8,6.9,3,79
2016-07-03,35.4,7.6,3.3,71
2016-07-04,33.8,7.1,2.4,75
2016-07-05,25.6,0,3.1,81
2016-07-06,26.9,4.1,2.6,84
2016-07-07,36.7,12.8,3,73
2016-07-08,29.8,2.1,2.3,77
2016-07-09,24.9,0,3,95
2016-07-10,31.3,11.7,2.6,79
2016-07-11,33.5,12.5,2.8,68
2016-07-12,31.8,6.3,3.1,77
2016-07-13,27.6,0,1.7,94
2016-07-14,32.9,3.9,2.4,88
2016-07-15,24,0,2.6,94
2016-07-16,27.7,1.6,2.4,79
2016-07-17,28.8,0.1,1.8,86
2016-07-18,33.5,7.5,2.7,76
2016-07-19,32.3,6.2,2.8,77
2016-07-20,29.9,4.6,3.3,76
2016-07-21,24.3,0,2.5,96
2016-07-22,22.7,0,2.6,86
2016-07-23,27.1,1.4,2.6,70
2016-07-24,29,7.3,2.4,73
2016-07-25,27.9,0.8,2.2,77
2016-07-26,27.4,0.1,2.9,86
2016-07-27,27.3,0.3,3,84
2016-07-28,31.1,5.2,2.9,78
2016-07-29,32.4,11.5,3.1,73
2016-07-30,32.9,10.8,2.5,74
2016-07-31,30.8,6.9,3,76
2016-08-01,31.5,1.9,2.4,79
2016-08-02,29.4,1.7,2.4,89
2016-08-03,32,4.1,2.5,84
2016-08-04,33,8.5,2.9,78
2016-08-05,33.4,10.8,3.1,76
2016-08-06,34.2,8.8,2.7,76
2016-08-07,33.6,11.2,2.9,70
2016-08-08,33.2,4.6,3.4,68
2016-08-09,37.7,8.1,3.6,52
2016-08-10,34,4.9,3.1,66
2016-08-11,32.1,4.9,2.5,65
2016-08-12,31.9,5.5,2.9,70
2016-08-13,31.8,7.2,2.7,68
2016-08-14,30.4,3.8,2.6,68
2016-08-15,30.8,0.7,3.5,77
2016-08-16,33.1,2.1,3.1,83
2016-08-17,34.3,10,5,79
2016-08-18,31.6,1.1,2.1,92
2016-08-19,32.3,6.9,3.4,81
2016-08-20,30,1.6,2.4,94
2016-08-21,33.5,7.9,3.2,83
2016-08-22,28.3,0,4.6,96
2016-08-23,30.4,1.7,2.8,86
2016-08-24,31.2,1.9,2.3,83
2016-08-25,32.7,11.9,3,76
2016-08-26,32.8,10.2,2.9,76
2016-08-27,27,0,3.2,87
2016-08-28,24.6,0,2.8,87
2016-08-29,30.1,2.6,2.9,92
2016-08-30,28.1,0.6,3.8,88
2016-08-31,31.1,11.3,5.3,62
2016-09-01,32.5,10.1,2.5,68
2016-09-02,29.8,4.9,2.5,76
2016-09-03,32.5,7.4,2.9,77
2016-09-04,31.9,4.5,2.4,84
2016-09-05,33,9.6,3.7,76
2016-09-06,32.4,9.6,4.1,74
2016-09-07,30.3,2.3,3.2,85
2016-09-08,30.4,1.3,3.5,92
2016-09-09,32.5,5.3,2.4,79
2016-09-10,31.2,4.1,2.5,73
2016-09-11,25.1,0.2,2.3,88
2016-09-12,27.7,0.3,2.4,81
2016-09-13,23.9,0,2.1,97
2016-09-14,26.6,0.3,1.8,89
2016-09-15,26.4,0.1,1.9,88
2016-09-16,24.4,0,1.9,93
2016-09-17,29.4,5.3,2.1,85
2016-09-18,26.9,0,2.7,89
2016-09-19,22.9,0,2.6,96
2016-09-20,20.1,0,3,100
2016-09-21,23.2,0.1,2.5,86
2016-09-22,20.9,0,2.4,98
2016-09-23,22.1,0,1.2,100
2016-09-24,23.9,0,1.8,98
2016-09-25,28.4,3.4,1.8,89
2016-09-26,30.1,3.1,1.8,87
2016-09-27,29.8,2.3,2,89
2016-09-28,30.6,2.1,2.2,86
2016-09-29,27.9,0.7,2.2,87
2016-09-30,24.7,2.4,2.7,66
2017-05-01,26,7.6,2.4,61
2017-05-02,23.3,12.4,3.1,41
2017-05-03,22.4,9.5,3.8,62
2017-05-04,23.3,9.9,4.3,66
2017-05-05,25.6,11.4,3.2,71
2017-05-06,28.2,12.4,3.3,75
2017-05-07,24.3,3.6,3.1,71
2017-05-08,27.8,12.3,2.6,57
2017-05-09,21.9,0.2,2.9,57
2017-05-10,17.9,0,1.7,95
2017-05-11,27.4,9.4,2,70
2017-05-12,28.3,7.8,3.2,75
2017-05-13,20.1,0,3.1,95
2017-05-14,20.4,0.7,2.8,79
2017-05-15,22.6,1.1,2.5,84
2017-05-16,23.4,4.6,3,71
2017-05-17,19.7,0.2,2.7,69
2017-05-18,23.6,5.4,2.1,82
2017-05-19,26.3,12.4,2.9,74
2017-05-20,28.7,13.1,2.6,68
2017-05-21,30.9,12.1,2.7,64
2017-05-22,29,12.9,3.6,66
2017-05-23,27.4,12.4,5,65
2017-05-24,26.2,2.7,4,72
2017-05-25,24,0.4,2.5,85
2017-05-26,20.8,0,2.4,92
2017-05-27,27.3,7,3.3,76
2017-05-28,26.7,6.6,2.7,67
2017-05-29,26.9,12,3.5,71
2017-05-30,29.1,12.1,3,70
2017-05-31,27.5,4.7,3.7,76
2017-06-01,26.4,1.7,2.4,91
2017-06-02,29.1,10.6,3.6,55
2017-06-03,26.6,12.1,3.6,44
2017-06-04,26.7,7.2,3.6,41
2017-06-05,25.6,9.2,3.1,60
2017-06-06,24.2,4.4,3,68
2017-06-07,22.6,0,4.4,74
2017-06-08,25.8,4.9,4.1,76
2017-06-09,28.1,7,3.2,69
2017-06-10,30.6,8.3,3.4,63
2017-06-11,25.3,3.7,3,55
2017-06-12,26.3,5,3.1,59
2017-06-13,19.4,0,2.5,92
2017-06-14,24.6,3.6,2.7,81
2017-06-15,26,7.2,3,74
2017-06-16,29,9.7,2.9,70
2017-06-17,27.7,12.2,2.9,60
2017-06-18,22.5,0,2.7,85
2017-06-19,30.5,11,3.5,63
2017-06-20,28,11.2,3.3,75
2017-06-21,24.4,0,5,90
2017-06-22,27.9,4.6,3.1,63
2017-06-23,30.2,12.1,3.2,69
2017-06-24,29,7.2,3.2,75
2017-06-25,23.9,0,1.9,95
2017-06-26,25.9,2.1,2.7,82
2017-06-27,25.6,0,2.4,87
2017-06-28,25,0,1.6,94
2017-06-29,29.1,3.7,2.6,80
2017-06-30,25.7,0.1,2.9,89
2017-07-01,25.3,0.1,2.1,90
2017-07-02,32,3.1,1.9,84
2017-07-03,32.5,6.2,2.5,75
2017-07-04,29.9,0.1,2,83
2017-07-05,31.4,5,3.1,82
2017-07-06,30.7,6.8,3.1,74
2017-07-07,32.3,10.9,2.6,74
2017-07-08,33.7,12.6,2.6,69
2017-07-09,32.5,13.1,2.9,78
2017-07-10,32.1,13.5,3.7,79
2017-07-11,31.6,7.2,4.8,78
2017-07-12,33.1,10.3,4.1,77
2017-07-13,33.4,5.6,5,78
2017-07-14,32.4,12.1,4.4,74
2017-07-15,33.7,11.5,2.8,74
2017-07-16,34.9,6.6,2.2,76
2017-07-17,35,6.1,3,66
2017-07-18,32.7,3.5,2.3,84
2017-07-19,31.1,6.6,3.4,79
2017-07-20,32.3,7.7,3.8,76
2017-07-21,33.7,11.6,4.5,73
2017-07-22,32.5,9.7,4.1,75
2017-07-23,28.5,0,4.5,79
2017-07-24,32.9,2.3,4.7,73
2017-07-25,32.7,1.8,3.5,76
2017-07-26,28.2,0,2.7,91
2017-07-27,26.7,0,2.4,81
2017-07-28,32.3,3.5,2.2,83
2017-07-29,33.5,3.1,2.4,85
2017-07-30,29.2,0.1,2.3,86
2017-07-31,33,8.4,2.4,78
2017-08-01,31,0,2.8,87
2017-08-02,25.4,0.5,3,82
2017-08-03,28.9,0.7,2.3,76
2017-08-04,29.2,0.6,2.2,86
2017-08-05,31.9,2.9,1.8,85
2017-08-06,33.5,6.1,2.7,82
2017-08-07,33.2,5,4.3,83
2017-08-08,33.9,3.3,4.2,80
2017-08-09,37.1,8.5,2.6,75
2017-08-10,28.4,0,2.6,85
2017-08-11,24.8,0,2.4,93
2017-08-12,29.3,1.5,1.8,89
2017-08-13,31.2,3.5,2.2,80
2017-08-14,25.2,0,2.2,94
2017-08-15,26.3,0,2.4,98
2017-08-16,22.8,0,2.5,99
2017-08-17,28.2,0.2,2.2,89
2017-08-18,30.2,0.8,1.9,87
2017-08-19,30.3,2.2,2.3,90
2017-08-20,29.3,0.6,1.9,86
2017-08-21,31.5,3.7,2.4,82
2017-08-22,31.9,2.6,2.8,84
2017-08-23,33.7,5.6,2,72
2017-08-24,34.8,7.6,2.5,69
2017-08-25,34.9,3.7,2.1,73
2017-08-26,33.6,2.7,2.4,75
2017-08-27,30.6,4.8,3,64
2017-08-28,31.4,6.7,2.7,74
2017-08-29,32.2,5.3,4.1,77
2017-08-30,32.9,4.6,3.3,83
2017-08-31,24.2,0,3.6,88
2017-09-01,27.4,2.3,3.6,71
2017-09-02,24.5,4.9,3.3,82
2017-09-03,27.2,8.6,2.8,76
2017-09-04,22.5,0,2.1,90
2017-09-05,27.3,2.3,2.2,84
2017-09-06,22.8,0,1.7,99
2017-09-07,24,0.1,1.6,99
2017-09-08,28.2,5.1,2.4,86
2017-09-09,29.2,8.7,2.4,74
2017-09-10,29.9,7.8,2.8,79
2017-09-11,29.8,5.8,4.1,78
2017-09-12,27,0.3,3.4,93
2017-09-13,31.2,7.1,2.9,70
2017-09-14,31,6.5,2.7,70
2017-09-15,28.5,6.9,3,57
2017-09-16,22.9,0,2.6,78
2017-09-17,20.9,0,2.5,100
2017-09-18,33.3,9.3,4.6,71
2017-09-19,28.2,6.3,2.3,67
2017-09-20,25.7,0,2.4,74
2017-09-21,29.5,10.4,3.4,54
2017-09-22,26.1,1.4,2.3,84
2017-09-23,24,1.3,2.6,85
2017-09-24,26.3,4,2.1,77
2017-09-25,28.9,5.9,2.3,75
2017-09-26,28.2,7.7,2.5,77
2017-09-27,26.5,0.5,4,77
2017-09-28,24.7,0.1,2.9,92
2017-09-29,24.2,8.3,2.4,75
2017-09-30,24.2,2.8,1.9,80
2018-05-01,28.1,12.1,2.9,59
2018-05-02,25.3,2.9,3.2,79
2018-05-03,27.4,1.9,6.2,77
2018-05-04,23.8,9.7,3.8,55
2018-05-05,24.3,12.4,3.3,53
2018-05-06,26.5,10.1,4.5,55
2018-05-07,21.6,0.1,4.3,83
2018-05-08,14.6,0,3.1,92
2018-05-09,14.3,0,2.9,90
2018-05-10,15.8,3.2,1.8,84
2018-05-11,22.4,11.9,3.7,64
2018-05-12,24.6,9.7,2.8,73
2018-05-13,21.4,0,3.4,85
2018-05-14,28.6,10.9,2.9,55
2018-05-15,28.4,12.6,3.6,57
2018-05-16,29,11.3,4.3,59
2018-05-17,28.4,5.8,3.7,71
2018-05-18,27.1,9.7,3,82
2018-05-19,26.3,2.3,3.9,70
2018-05-20,22.1,11,3.5,51
2018-05-21,27.2,11,2.4,48
2018-05-22,27.3,13.4,3.1,55
2018-05-23,22,1.3,2.3,85
2018-05-24,25.7,7.8,2.8,82
2018-05-25,27.1,8.3,3.7,72
2018-05-26,25.2,2.7,2.7,63
2018-05-27,26.9,11.2,2.9,72
2018-05-28,26,0.7,2.5,76
2018-05-29,27.6,3.6,3.2,73
2018-05-30,25,0.1,2.6,86
2018-05-31,22,1.6,2.4,87
2018-06-01,27.5,9.1,3.4,57
2018-06-02,27.2,9.9,2.4,65
2018-06-03,28.6,9.8,2.8,68
2018-06-04,29.1,13.2,2.8,64
2018-06-05,28.3,6,2.3,69
2018-06-06,22.8,0,1.7,92
2018-06-07,27.3,8.5,2.6,81
2018-06-08,27.5,7.3,4,79
2018-06-09,32,8.4,2.7,74
2018-06-10,22,0,3,91
2018-06-11,19.9,0,2.9,99
2018-06-12,26.4,1.1,2.2,91
2018-06-13,27,5,2.7,77
2018-06-14,25.2,1.3,3.4,72
2018-06-15,20,0,3.2,93
2018-06-16,18.4,0.1,2.8,86
2018-06-17,22.5,0.4,2.3,77
2018-06-18,21.2,0,1.9,93
2018-06-19,28.8,7.7,3,77
2018-06-20,21.7,0,2.7,98
2018-06-21,24.4,0,2,95
2018-06-22,28.1,10.8,2.7,79
2018-06-23,23,0,1.7,95
2018-06-24,27,4.1,2.1,91
2018-06-25,32.6,12.9,2.4,71
2018-06-26,30.1,9.2,3.6,75
2018-06-27,31.7,7.6,7,71
2018-06-28,31.9,4.8,6,77
2018-06-29,32.9,12.8,6.9,73
2018-06-30,32.7,13.1,5.8,74
2018-07-01,32,13.1,5.1,75
2018-07-02,33.5,13.6,3.7,70
2018-07-03,32.7,11.4,5,69
2018-07-04,31.2,2.6,6.6,75
2018-07-05,28.7,0.1,6.9,79
2018-07-06,25,0,3.1,99
2018-07-07,29.6,3.1,3.8,86
2018-07-08,32.2,6.8,3.9,79
2018-07-09,31.6,5.1,3.2,86
2018-07-10,32.8,10.5,3.7,78
2018-07-11,34.2,5.5,2.1,75
2018-07-12,30,3.9,2.6,83
2018-07-13,33.8,8.7,2.7,75
2018-07-14,35.4,8.9,2.8,70
2018-07-15,34.5,11.1,3.2,78
2018-07-16,34.4,11.1,3,78
2018-07-17,34.8,10.2,3.4,78
2018-07-18,35.3,11.2,3,75
2018-07-19,34.8,11.2,3.6,78
2018-07-20,34.2,12.5,4.4,75
2018-07-21,34.9,12.6,3.2,72
2018-07-22,35.6,9.9,2.4,73
2018-07-23,39,10,2.9,59
2018-07-24,35.3,7.9,2.8,76
2018-07-25,32.2,3.3,3,81
2018-07-26,30.7,3.1,2.9,68
2018-07-27,28.5,2.9,3.1,69
2018-07-28,28,0.2,4.2,96
2018-07-29,32.3,5.9,3.6,85
2018-07-30,31.9,2.6,2.6,82
2018-07-31,33.8,8.2,2.6,79
2018-08-01,35.1,12.5,2.6,73
2018-08-02,37.3,8.3,2.5,70
2018-08-03,35.4,6.4,2.6,74
2018-08-04,34.1,11.1,2.8,72
2018-08-05,34.7,9.9,3.3,77
2018-08-06,34,5.2,3,80
2018-08-07,25,0,3.3,93
2018-08-08,25.1,0,3.9,95
2018-08-09,32.1,1.9,5,85
2018-08-10,34.5,10.7,3.8,76
2018-08-11,33.6,5.4,2.3,85
2018-08-12,31.1,0.4,2.2,85
2018-08-13,34.1,4.6,2,91
2018-08-14,34.1,10.8,3.8,79
2018-08-15,33.1,11.8,5.8,72
2018-08-16,32.3,6.3,5.9,72
2018-08-17,30,10.5,5.5,44
2018-08-18,27.2,11.5,2.9,57
2018-08-19,28.6,9.1,2.5,66
2018-08-20,27.6,0.3,1.7,74
2018-08-21,33.6,8.3,3.5,80
2018-08-22,34.1,11.8,4.9,75
2018-08-23,33.7,5.9,4.8,78
2018-08-24,31.4,2.9,7.4,84
2018-08-25,35.6,11.6,4.3,70
2018-08-26,36,12.2,2.1,72
2018-08-27,35.8,9.8,2.9,74
2018-08-28,30.5,1.9,2.3,84
2018-08-29,29.2,0.6,2.4,86
2018-08-30,34,6.1,2.9,77
2018-08-31,35.4,9.6,2.5,77
2018-09-01,31.4,0.9,2.5,86
2018-09-02,23.7,0,2,95
2018-09-03,26.1,1.4,1.8,95
2018-09-04,28.7,0,5.9,90
2018-09-05,32,9.1,6.6,75
2018-09-06,31.5,6.2,3.7,67
2018-09-07,30.4,1.4,5.4,75
2018-09-08,33,10.3,5.3,74
2018-09-09,32.1,8.1,4.9,76
2018-09-10,30.6,3.5,3.6,89
2018-09-11,23.9,0.3,3.7,81
2018-09-12,24.4,3.3,2.9,70
2018-09-13,27.3,4.3,2.1,78
2018-09-14,24.9,0.2,2,93
2018-09-15,22.2,0,1.5,100
2018-09-16,27.4,4.1,1.8,89
2018-09-17,31.2,6.8,2.3,86
2018-09-18,28.1,6.8,2.7,88
2018-09-19,27.4,8,2.8,72
2018-09-20,24,0,2.1,85
2018-09-21,19,0,3.5,100
2018-09-22,25.8,3.1,1.2,95
2018-09-23,28.4,5,2.3,77
2018-09-24,28.6,2.3,2,84
2018-09-25,25.2,0,2.5,95
2018-09-26,19.9,0,2.5,96
2018-09-27,17.5,0,2.9,99
2018-09-28,26,11.4,2.1,77
